Catégorie : Toutes catégories

Semaine,paludisme: (Burkina Faso)
2015-08-30,39
2015-09-06,38
2015-09-13,55
2015-09-20,43
2015-09-27,34
2015-10-04,75
2015-10-11,38
2015-10-18,37
2015-10-25,56
2015-11-01,53
2015-11-08,48
2015-11-15,71
2015-11-22,38
2015-11-29,47
2015-12-06,40
2015-12-13,40
2015-12-20,45
2015-12-27,42
2016-01-03,31
2016-01-10,29
2016-01-17,30
2016-01-24,30
2016-01-31,30
2016-02-07,28
2016-02-14,56
2016-02-21,29
2016-02-28,44
2016-03-06,40
2016-03-13,55
2016-03-20,46
2016-03-27,31
2016-04-03,39
2016-04-10,39
2016-04-17,29
2016-04-24,71
2016-05-01,32
2016-05-08,61
2016-05-15,49
2016-05-22,31
2016-05-29,31
2016-06-05,51
2016-06-12,45
2016-06-19,46
2016-06-26,30
2016-07-03,0
2016-07-10,44
2016-07-17,59
2016-07-24,31
2016-07-31,40
2016-08-07,30
2016-08-14,31
2016-08-21,30
2016-08-28,0
2016-09-04,68
2016-09-11,30
2016-09-18,40
2016-09-25,53
2016-10-02,30
2016-10-09,51
2016-10-16,45
2016-10-23,28
2016-10-30,56
2016-11-06,42
2016-11-13,51
2016-11-20,61
2016-11-27,53
2016-12-04,26
2016-12-11,26
2016-12-18,58
2016-12-25,29
2017-01-01,38
2017-01-08,25
2017-01-15,24
2017-01-22,33
2017-01-29,37
2017-02-05,40
2017-02-12,51
2017-02-19,68
2017-02-26,56
2017-03-05,29
2017-03-12,0
2017-03-19,30
2017-03-26,60
2017-04-02,66
2017-04-09,50
2017-04-16,55
2017-04-23,38
2017-04-30,25
2017-05-07,27
2017-05-14,28
2017-05-21,47
2017-05-28,39
2017-06-04,42
2017-06-11,28
2017-06-18,43
2017-06-25,0
2017-07-02,53
2017-07-09,54
2017-07-16,26
2017-07-23,32
2017-07-30,37
2017-08-06,47
2017-08-13,40
2017-08-20,33
2017-08-27,34
2017-09-03,51
2017-09-10,25
2017-09-17,57
2017-09-24,38
2017-10-01,59
2017-10-08,50
2017-10-15,100
2017-10-22,49
2017-10-29,60
2017-11-05,36
2017-11-12,23
2017-11-19,46
2017-11-26,23
2017-12-03,47
2017-12-10,65
2017-12-17,24
2017-12-24,26
2017-12-31,41
2018-01-07,29
2018-01-14,46
2018-01-21,36
2018-01-28,35
2018-02-04,28
2018-02-11,21
2018-02-18,32
2018-02-25,52
2018-03-04,21
2018-03-11,43
2018-03-18,52
2018-03-25,32
2018-04-01,27
2018-04-08,34
2018-04-15,43
2018-04-22,59
2018-04-29,45
2018-05-06,63
2018-05-13,23
2018-05-20,24
2018-05-27,23
2018-06-03,30
2018-06-10,34
2018-06-17,22
2018-06-24,34
2018-07-01,49
2018-07-08,37
2018-07-15,33
2018-07-22,24
2018-07-29,22
2018-08-05,0
2018-08-12,35
2018-08-19,74
2018-08-26,80
2018-09-02,0
2018-09-09,38
2018-09-16,47
2018-09-23,21
2018-09-30,21
2018-10-07,44
2018-10-14,21
2018-10-21,22
2018-10-28,43
2018-11-04,21
2018-11-11,45
2018-11-18,30
2018-11-25,67
2018-12-02,22
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,39
2019-01-06,43
2019-01-13,62
2019-01-20,21
2019-01-27,34
2019-02-03,21
2019-02-10,21
2019-02-17,43
2019-02-24,22
2019-03-03,32
2019-03-10,28
2019-03-17,60
2019-03-24,23
2019-03-31,43
2019-04-07,36
2019-04-14,60
2019-04-21,57
2019-04-28,23
2019-05-05,50
2019-05-12,48
2019-05-19,50
2019-05-26,25
2019-06-02,38
2019-06-09,47
2019-06-16,35
2019-06-23,24
2019-06-30,46
2019-07-07,24
2019-07-14,70
2019-07-21,72
2019-07-28,48
2019-08-04,63
2019-08-11,49
2019-08-18,41
2019-08-25,84
2019-09-01,55
2019-09-08,48
2019-09-15,24
2019-09-22,47
2019-09-29,63
2019-10-06,72
2019-10-13,67
2019-10-20,45
2019-10-27,35
2019-11-03,65
2019-11-10,45
2019-11-17,45
2019-11-24,30
2019-12-01,55
2019-12-08,35
2019-12-15,22
2019-12-22,24
2019-12-29,47
2020-01-05,20
2020-01-12,41
2020-01-19,41
2020-01-26,27
2020-02-02,39
2020-02-09,71
2020-02-16,41
2020-02-23,21
2020-03-01,31
2020-03-08,28
2020-03-15,36
2020-03-22,45
2020-03-29,40
2020-04-05,62
2020-04-12,32
2020-04-19,67
2020-04-26,32
2020-05-03,86
2020-05-10,76
2020-05-17,25
2020-05-24,0
2020-05-31,33
2020-06-07,48
2020-06-14,33
2020-06-21,49
2020-06-28,18
2020-07-05,48
2020-07-12,44
2020-07-19,45
2020-07-26,20
2020-08-02,16
2020-08-09,53
2020-08-16,41
